Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
18/06/18,walking,walking,2018-06-18T16:47:04+01:00,2018-06-18T16:51:28+01:00,264,0.134,408,0
18/06/18,walking,walking,2018-06-18T16:51:29+01:00,2018-06-18T16:51:48+01:00,19,0.009,30,0
18/06/18,walking,walking,2018-06-18T17:30:15+01:00,2018-06-18T17:34:25+01:00,250,0.145,467,0
18/06/18,walking,walking,2018-06-18T17:34:26+01:00,2018-06-18T17:35:20+01:00,54,0.025,82,0
18/06/18,walking,walking,2018-06-18T18:58:51+01:00,2018-06-18T18:59:25+01:00,34,0.014,44,0
18/06/18,walking,walking,2018-06-18T19:01:17+01:00,2018-06-18T19:03:23+01:00,126,0.087,187,0
18/06/18,cycling,cycling,2018-06-18T19:38:46+01:00,2018-06-18T19:50:37+01:00,711,2.244,0,0
18/06/18,walking,walking,2018-06-18T19:50:37+01:00,2018-06-18T19:55:01+01:00,264,0.185,396,0
18/06/18,walking,walking,2018-06-18T20:04:03+01:00,2018-06-18T20:04:34+01:00,31,0.014,47,0
18/06/18,walking,walking,2018-06-18T21:31:21+01:00,2018-06-18T21:32:58+01:00,97,0.032,104,0
18/06/18,walking,walking,2018-06-18T22:20:41+01:00,2018-06-18T22:23:53+01:00,192,0.126,270,0
18/06/18,walking,walking,2018-06-18T23:05:49+01:00,2018-06-18T23:06:18+01:00,29,0.009,0,0
