transport,0.9271624,55.925049,-3.2458615,119.8869188
motor vehicle,0.8837301,55.925049,-3.2458615,119.8869188
vehicle,0.87572783,55.925049,-3.2458615,119.8869188
town,0.83043003,55.925049,-3.2458615,119.8869188
car,0.78824776,55.925049,-3.2458615,119.8869188
asphalt,0.7655406,55.925049,-3.2458615,119.8869188
family car,0.7255698,55.925049,-3.2458615,119.8869188
home,0.6990066,55.925049,-3.2458615,119.8869188
real estate,0.67279667,55.925049,-3.2458615,119.8869188
area,0.6720096,55.925049,-3.2458615,119.8869188
road,0.6256706,55.925049,-3.2458615,119.8869188
automotive exterior,0.59370124,55.925049,-3.2458615,119.8869188
house,0.58999366,55.925049,-3.2458615,119.8869188
suburb,0.55927074,55.925049,-3.2458615,119.8869188
land lot,0.55825126,55.925049,-3.2458615,119.8869188
property,0.95013016,55.925694,-3.2462316,172.8493512
residential area,0.91451913,55.925694,-3.2462316,172.8493512
land lot,0.86886984,55.925694,-3.2462316,172.8493512
tree,0.8368626,55.925694,-3.2462316,172.8493512
road,0.82087374,55.925694,-3.2462316,172.8493512
wall,0.81294554,55.925694,-3.2462316,172.8493512
sky,0.80731463,55.925694,-3.2462316,172.8493512
architecture,0.80227464,55.925694,-3.2462316,172.8493512
suburb,0.76079303,55.925694,-3.2462316,172.8493512
plant,0.7540552,55.925694,-3.2462316,172.8493512
home,0.75049436,55.925694,-3.2462316,172.8493512
asphalt,0.7251583,55.925694,-3.2462316,172.8493512
real estate,0.7125866,55.925694,-3.2462316,172.8493512
house,0.708008,55.925694,-3.2462316,172.8493512
roof,0.7014469,55.925694,-3.2462316,172.8493512
neighbourhood,0.68636584,55.925694,-3.2462316,172.8493512
landscape,0.677715,55.925694,-3.2462316,172.8493512
area,0.6720096,55.925694,-3.2462316,172.8493512
road,0.96416795,55.926292,-3.2509906,196.8300624
car,0.9321401,55.926292,-3.2509906,196.8300624
transport,0.9106679,55.926292,-3.2509906,196.8300624
property,0.9056896,55.926292,-3.2509906,196.8300624
mode of transport,0.8750395,55.926292,-3.2509906,196.8300624
motor vehicle,0.8748573,55.926292,-3.2509906,196.8300624
vehicle,0.87469363,55.926292,-3.2509906,196.8300624
family car,0.8685266,55.926292,-3.2509906,196.8300624
sky,0.8549089,55.926292,-3.2509906,196.8300624
asphalt,0.8496257,55.926292,-3.2509906,196.8300624
tree,0.8351376,55.926292,-3.2509906,196.8300624
lane,0.80401117,55.926292,-3.2509906,196.8300624
automotive exterior,0.76308274,55.926292,-3.2509906,196.8300624
parking,0.6729288,55.926292,-3.2509906,196.8300624
area,0.6720096,55.926292,-3.2509906,196.8300624
land lot,0.65842235,55.926292,-3.2509906,196.8300624
plant,0.59889895,55.926292,-3.2509906,196.8300624
street,0.5896997,55.926292,-3.2509906,196.8300624
property,0.94870806,55.926292,-3.2509906,24.17066105
car,0.938355,55.926292,-3.2509906,24.17066105
family car,0.9310954,55.926292,-3.2509906,24.17066105
town,0.8977314,55.926292,-3.2509906,24.17066105
road,0.88325804,55.926292,-3.2509906,24.17066105
transport,0.8730651,55.926292,-3.2509906,24.17066105
residential area,0.8559172,55.926292,-3.2509906,24.17066105
neighbourhood,0.8376327,55.926292,-3.2509906,24.17066105
house,0.8153769,55.926292,-3.2509906,24.17066105
building,0.81062406,55.926292,-3.2509906,24.17066105
luxury vehicle,0.78527826,55.926292,-3.2509906,24.17066105
lane,0.76004875,55.926292,-3.2509906,24.17066105
motor vehicle,0.73553157,55.926292,-3.2509906,24.17066105
asphalt,0.7324388,55.926292,-3.2509906,24.17066105
street,0.7187032,55.926292,-3.2509906,24.17066105
real estate,0.7083016,55.926292,-3.2509906,24.17066105
suburb,0.70806056,55.926292,-3.2509906,24.17066105
home,0.6976916,55.926292,-3.2509906,24.17066105
property,0.94641554,55.926292,-3.2509906,26.39477123
town,0.91084516,55.926292,-3.2509906,26.39477123
family car,0.89179635,55.926292,-3.2509906,26.39477123
car,0.876003,55.926292,-3.2509906,26.39477123
transport,0.8678472,55.926292,-3.2509906,26.39477123
road,0.86548376,55.926292,-3.2509906,26.39477123
residential area,0.8308179,55.926292,-3.2509906,26.39477123
neighbourhood,0.8295559,55.926292,-3.2509906,26.39477123
building,0.79017466,55.926292,-3.2509906,26.39477123
house,0.74634737,55.926292,-3.2509906,26.39477123
luxury vehicle,0.7451023,55.926292,-3.2509906,26.39477123
asphalt,0.73273164,55.926292,-3.2509906,26.39477123
real estate,0.71518886,55.926292,-3.2509906,26.39477123
lane,0.70930624,55.926292,-3.2509906,26.39477123
street,0.69409233,55.926292,-3.2509906,26.39477123
suburb,0.6856769,55.926292,-3.2509906,26.39477123
sky,0.67177397,55.926292,-3.2509906,26.39477123
facade,0.6577648,55.926292,-3.2509906,26.39477123
property,0.9467711,55.926292,-3.2509906,71.39477123
family car,0.9313204,55.926292,-3.2509906,71.39477123
transport,0.9193555,55.926292,-3.2509906,71.39477123
motor vehicle,0.9158378,55.926292,-3.2509906,71.39477123
car,0.8770971,55.926292,-3.2509906,71.39477123
road,0.87111104,55.926292,-3.2509906,71.39477123
town,0.86341244,55.926292,-3.2509906,71.39477123
residential area,0.83274984,55.926292,-3.2509906,71.39477123
vehicle,0.78746194,55.926292,-3.2509906,71.39477123
neighbourhood,0.77383804,55.926292,-3.2509906,71.39477123
luxury vehicle,0.72867507,55.926292,-3.2509906,71.39477123
suburb,0.7246048,55.926292,-3.2509906,71.39477123
sky,0.7161643,55.926292,-3.2509906,71.39477123
parking,0.7019496,55.926292,-3.2509906,71.39477123
mid size car,0.7012389,55.926292,-3.2509906,71.39477123
sedan,0.6828052,55.926292,-3.2509906,71.39477123
area,0.6720096,55.926292,-3.2509906,71.39477123
real estate,0.651738,55.926292,-3.2509906,71.39477123
motor vehicle,0.94628567,55.926292,-3.2509906,90
transport,0.9337285,55.926292,-3.2509906,90
property,0.9259778,55.926292,-3.2509906,90
family car,0.9084067,55.926292,-3.2509906,90
vehicle,0.87826097,55.926292,-3.2509906,90
luxury vehicle,0.8222523,55.926292,-3.2509906,90
car,0.81269103,55.926292,-3.2509906,90
automotive exterior,0.75826436,55.926292,-3.2509906,90
plant community,0.70941335,55.926292,-3.2509906,90
mid size car,0.6797343,55.926292,-3.2509906,90
sedan,0.6551817,55.926292,-3.2509906,90
land lot,0.60667765,55.926292,-3.2509906,90
compact car,0.5541175,55.926292,-3.2509906,90
subcompact car,0.51973146,55.926292,-3.2509906,90
executive car,0.5190659,55.926292,-3.2509906,90
parking,0.5106722,55.926292,-3.2509906,90
road,0.50254345,55.926292,-3.2509906,90
motor vehicle,0.9665609,55.926473,-3.2503932,196.8300624
car,0.96546054,55.926473,-3.2503932,196.8300624
family car,0.93917847,55.926473,-3.2503932,196.8300624
vehicle,0.93640804,55.926473,-3.2503932,196.8300624
property,0.9254235,55.926473,-3.2503932,196.8300624
transport,0.9024002,55.926473,-3.2503932,196.8300624
luxury vehicle,0.84251237,55.926473,-3.2503932,196.8300624
automotive exterior,0.7842925,55.926473,-3.2503932,196.8300624
mid size car,0.75899374,55.926473,-3.2503932,196.8300624
road,0.7089514,55.926473,-3.2503932,196.8300624
subcompact car,0.67440677,55.926473,-3.2503932,196.8300624
sedan,0.6620081,55.926473,-3.2503932,196.8300624
parking,0.6597973,55.926473,-3.2503932,196.8300624
compact car,0.5944047,55.926473,-3.2503932,196.8300624
executive car,0.5826913,55.926473,-3.2503932,196.8300624
plant community,0.56215286,55.926473,-3.2503932,196.8300624
asphalt,0.5370935,55.926473,-3.2503932,196.8300624
minivan,0.5017878,55.926473,-3.2503932,196.8300624
road,0.99281317,55.926552,-3.2450784,244.4755201
lane,0.9655322,55.926552,-3.2450784,244.4755201
asphalt,0.91664046,55.926552,-3.2450784,244.4755201
transport,0.9010065,55.926552,-3.2450784,244.4755201
infrastructure,0.90072507,55.926552,-3.2450784,244.4755201
property,0.8973433,55.926552,-3.2450784,244.4755201
mode of transport,0.875198,55.926552,-3.2450784,244.4755201
highway,0.8144629,55.926552,-3.2450784,244.4755201
road surface,0.7948798,55.926552,-3.2450784,244.4755201
land lot,0.7540118,55.926552,-3.2450784,244.4755201
residential area,0.75176,55.926552,-3.2450784,244.4755201
thoroughfare,0.75154597,55.926552,-3.2450784,244.4755201
sky,0.71165323,55.926552,-3.2450784,244.4755201
shoulder,0.7071906,55.926552,-3.2450784,244.4755201
guard rail,0.6964437,55.926552,-3.2450784,244.4755201
tree,0.68816245,55.926552,-3.2450784,244.4755201
area,0.6720096,55.926552,-3.2450784,244.4755201
road trip,0.6287929,55.926552,-3.2450784,244.4755201
road,0.991313,55.926574,-3.2450709,251.1468226
lane,0.96578664,55.926574,-3.2450709,251.1468226
asphalt,0.9185202,55.926574,-3.2450709,251.1468226
infrastructure,0.8995941,55.926574,-3.2450709,251.1468226
property,0.88133377,55.926574,-3.2450709,251.1468226
mode of transport,0.8751334,55.926574,-3.2450709,251.1468226
transport,0.8570335,55.926574,-3.2450709,251.1468226
tree,0.82354814,55.926574,-3.2450709,251.1468226
highway,0.78168446,55.926574,-3.2450709,251.1468226
road surface,0.7789483,55.926574,-3.2450709,251.1468226
path,0.7336704,55.926574,-3.2450709,251.1468226
guard rail,0.7291454,55.926574,-3.2450709,251.1468226
sky,0.7091433,55.926574,-3.2450709,251.1468226
residential area,0.70307976,55.926574,-3.2450709,251.1468226
land lot,0.69962007,55.926574,-3.2450709,251.1468226
shoulder,0.68283206,55.926574,-3.2450709,251.1468226
area,0.6720096,55.926574,-3.2450709,251.1468226
thoroughfare,0.6695316,55.926574,-3.2450709,251.1468226
road,0.9725395,55.926802,-3.2448588,166.7185033
sky,0.9218288,55.926802,-3.2448588,166.7185033
lane,0.9172902,55.926802,-3.2448588,166.7185033
property,0.8883808,55.926802,-3.2448588,166.7185033
infrastructure,0.88285977,55.926802,-3.2448588,166.7185033
asphalt,0.8762404,55.926802,-3.2448588,166.7185033
transport,0.821189,55.926802,-3.2448588,166.7185033
structure,0.7975159,55.926802,-3.2448588,166.7185033
land lot,0.7427053,55.926802,-3.2448588,166.7185033
residential area,0.6876735,55.926802,-3.2448588,166.7185033
cloud,0.6837772,55.926802,-3.2448588,166.7185033
line,0.67388934,55.926802,-3.2448588,166.7185033
area,0.6720096,55.926802,-3.2448588,166.7185033
road surface,0.6510088,55.926802,-3.2448588,166.7185033
vehicle,0.61156917,55.926802,-3.2448588,166.7185033
tree,0.61150694,55.926802,-3.2448588,166.7185033
angle,0.5746116,55.926802,-3.2448588,166.7185033
parking,0.5386462,55.926802,-3.2448588,166.7185033
road,0.9693878,55.926816,-3.2442804,22.87286981
lane,0.9443004,55.926816,-3.2442804,22.87286981
transport,0.9071941,55.926816,-3.2442804,22.87286981
asphalt,0.82632357,55.926816,-3.2442804,22.87286981
vehicle,0.73914754,55.926816,-3.2442804,22.87286981
guard rail,0.68224853,55.926816,-3.2442804,22.87286981
shoulder,0.629567,55.926816,-3.2442804,22.87286981
road surface,0.6151952,55.926816,-3.2442804,22.87286981
street,0.5804101,55.926816,-3.2442804,22.87286981
thoroughfare,0.5784276,55.926816,-3.2442804,22.87286981
road,0.97455263,55.926855,-3.2446957,354.6447884
lane,0.9519792,55.926855,-3.2446957,354.6447884
property,0.92620295,55.926855,-3.2446957,354.6447884
town,0.89893097,55.926855,-3.2446957,354.6447884
transport,0.89468795,55.926855,-3.2446957,354.6447884
infrastructure,0.8692013,55.926855,-3.2446957,354.6447884
family car,0.86420345,55.926855,-3.2446957,354.6447884
car,0.8599153,55.926855,-3.2446957,354.6447884
asphalt,0.8386049,55.926855,-3.2446957,354.6447884
street,0.83758754,55.926855,-3.2446957,354.6447884
residential area,0.82682127,55.926855,-3.2446957,354.6447884
sky,0.77843565,55.926855,-3.2446957,354.6447884
vehicle,0.7537699,55.926855,-3.2446957,354.6447884
suburb,0.75173634,55.926855,-3.2446957,354.6447884
neighbourhood,0.74020386,55.926855,-3.2446957,354.6447884
road surface,0.67874604,55.926855,-3.2446957,354.6447884
land lot,0.6065182,55.926855,-3.2446957,354.6447884
automotive exterior,0.56052244,55.926855,-3.2446957,354.6447884
property,0.9498754,55.92687,-3.2497041,29.01688826
family car,0.9076062,55.92687,-3.2497041,29.01688826
car,0.9017569,55.92687,-3.2497041,29.01688826
town,0.8616597,55.92687,-3.2497041,29.01688826
transport,0.83415854,55.92687,-3.2497041,29.01688826
residential area,0.7853863,55.92687,-3.2497041,29.01688826
motor vehicle,0.74319077,55.92687,-3.2497041,29.01688826
vehicle,0.74011683,55.92687,-3.2497041,29.01688826
neighbourhood,0.73574287,55.92687,-3.2497041,29.01688826
building,0.71905816,55.92687,-3.2497041,29.01688826
road,0.7185478,55.92687,-3.2497041,29.01688826
house,0.70306313,55.92687,-3.2497041,29.01688826
real estate,0.69382435,55.92687,-3.2497041,29.01688826
