Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
19/06/18,walking,walking,2018-06-19T18:06:23+01:00,2018-06-19T18:10:23+01:00,240,0.165,407,0
19/06/18,transport,transport,2018-06-19T18:10:24+01:00,2018-06-19T18:38:12+01:00,1668,4.333,0,0
19/06/18,walking,walking,2018-06-19T18:38:13+01:00,2018-06-19T18:41:42+01:00,209,0.146,314,0
19/06/18,walking,walking,2018-06-19T19:00:13+01:00,2018-06-19T19:03:10+01:00,177,0.122,263,0
19/06/18,walking,walking,2018-06-19T20:31:50+01:00,2018-06-19T20:32:36+01:00,46,0.021,68,0
19/06/18,walking,walking,2018-06-19T22:01:52+01:00,2018-06-19T22:03:01+01:00,69,0.021,60,0
19/06/18,walking,walking,2018-06-19T23:11:54+01:00,2018-06-19T23:11:56+01:00,2,0.001,2,0
20/06/18,walking,walking,2018-06-20T07:26:40+01:00,2018-06-20T07:26:47+01:00,7,0.003,10,0
20/06/18,walking,walking,2018-06-20T08:08:30+01:00,2018-06-20T08:09:15+01:00,45,0.014,36,0
20/06/18,walking,walking,2018-06-20T09:26:53+01:00,2018-06-20T09:27:22+01:00,29,0.009,0,0
20/06/18,walking,walking,2018-06-20T10:06:24+01:00,2018-06-20T10:12:32+01:00,368,0.257,551,0
20/06/18,walking,walking,2018-06-20T10:38:57+01:00,2018-06-20T10:45:54+01:00,417,0.144,464,0
20/06/18,walking,walking,2018-06-20T10:45:54+01:00,2018-06-20T10:46:12+01:00,18,0.009,28,0
20/06/18,walking,walking,2018-06-20T10:46:53+01:00,2018-06-20T10:51:05+01:00,252,0.126,320,0
20/06/18,walking,walking,2018-06-20T12:19:00+01:00,2018-06-20T12:20:37+01:00,97,0.045,147,0
